id,predicted_label
116,1
347,1
329,0
975,1
588,1
260,1
53,0
456,1
342,1
678,0
236,1
466,1
852,1
376,1
222,1
603,0
108,0
740,1
150,1
384,1
841,0
507,1
220,0
978,1
723,1
135,0
129,1
855,1
380,1
511,1
272,1
302,0
797,0
533,1
323,0
579,1
424,1
627,0
524,0
297,1
951,1
189,0
545,1
901,1
431,1
478,0
373,1
542,1
549,1
752,1
599,1
333,1
615,1
845,0
12,1
916,0
791,0
278,0
262,0
130,1
183,1
989,1
369,0
493,1
117,0
970,1
664,1
436,0
330,0
927,1
337,1
993,1
719,1
449,0
200,1
583,0
706,0
387,1
949,1
730,1
726,1
805,1
994,1
680,1
890,1
309,0
71,0
280,0
548,1
897,1
716,1
221,1
876,1
954,1
229,0
580,1
683,1
905,0
941,1
794,0
292,1
773,1
476,1
847,1
217,1
139,1
684,1
535,1
634,1
161,1
818,1
123,1
193,0
514,1
908,0
676,1
697,1
945,1
718,0
679,1
31,0
878,0
710,1
534,0
757,1
294,1
775,1
565,1
354,1
480,1
134,1
669,1
47,0
571,1
14,1
133,1
700,0
318,0
633,1
800,1
854,1
298,1
258,1
762,1
659,0
119,1
939,1
786,0
464,0
390,0
179,1
892,1
891,1
300,1
767,1
3,1
942,1
727,1
516,1
564,0
787,0
269,0
932,1
572,1
576,1
934,1
918,1
371,0
561,1
563,1
807,0
665,1
529,1
131,0
886,1
515,1
413,1
591,1
264,1
654,1
448,1
359,0
274,0
405,1
699,1
782,1
525,1
396,1
474,1
803,1
310,1
635,1
79,1
167,1
967,1
849,1
543,0
303,1
195,1
113,0
206,1
2,0
666,1
23,1
948,1
531,0
160,1
277,1
320,1
339,0
168,1
39,0
142,1
86,1
356,1
284,1
379,1
832,1
172,0
44,1
283,0
658,0
188,1
48,1
156,1
804,1
338,1
789,1
192,1
746,1
780,1
237,1
922,1
672,0
22,0
801,1
552,0
819,1
437,0
857,0
143,1
331,1
90,1
743,0
747,1
725,0
769,1
792,0
682,0
595,0
432,1
997,0
692,0
65,1
999,0
169,0
843,1
259,0
884,1
191,0
7,0
859,0
621,1
29,1
811,0
937,0
84,1
504,1
230,1
668,0
806,0
756,0
523,1
97,1
764,1
609,1
833,1
631,0
402,1
348,1
663,0
871,1
802,1
888,0
235,1
481,1
846,0
538,1
520,1
795,0
255,0
374,1
290,1
305,1
162,1
486,1
648,0
861,1
434,1
201,1
